"Formula","N","N_Trees","Mean Effect","SD Effect","SE Estimate Effect","SE2 Estimate Effect","N_Nulls"
"2*x+e","100","50","1.9913","0.499","0.2603","0.4753","485"
"2*x+e","200","50","2.0163","0.4626","0.2843","0.5411","484"
"2*x+e","500","50","1.9946","0.4552","0.346","0.6911","497"
"2*x+e","100","100","1.9909","0.5145","0.2291","0.4518","490"
"2*x+e","200","100","2.0208","0.4526","0.2446","0.475","478"
"2*x+e","500","100","2.0046","0.4406","0.2671","0.501","489"
"2*x+e","100","200","1.9855","0.4969","0.224","0.4463","494"
"2*x+e","200","200","1.9978","0.4562","0.2202","0.4547","521"
"2*x+e","500","200","1.9899","0.4459","0.2019","0.4623","546"
"2*x+e","100","500","2.0169","0.5017","0.2299","0.4457","481"
"2*x+e","200","500","1.9733","0.4541","0.2251","0.4604","490"
"2*x+e","500","500","2.0099","0.4051","0.2119","0.4397","512"
"2*-x^2+e","100","50","0.0019","0.5819","0.2551","0.5058","515"
"2*-x^2+e","200","50","0.0388","0.5011","0.2963","0.5463","489"
"2*-x^2+e","500","50","-0.0013","0.4684","0.3327","0.6775","512"
"2*-x^2+e","100","100","0.0341","0.5679","0.217","0.4573","513"
"2*-x^2+e","200","100","0.007","0.512","0.2385","0.4783","504"
"2*-x^2+e","500","100","-0.0265","0.4416","0.2634","0.501","496"
"2*-x^2+e","100","200","0.0158","0.5857","0.2159","0.4431","496"
"2*-x^2+e","200","200","-0.0116","0.4985","0.2247","0.4564","495"
"2*-x^2+e","500","200","0.0073","0.4338","0.2626","0.4814","456"
"2*-x^2+e","100","500","0.0011","0.5693","0.2007","0.454","517"
"2*-x^2+e","200","500","0.0229","0.4965","0.2194","0.45","487"
"2*-x^2+e","500","500","0.0017","0.4383","0.2121","0.4578","524"
"3*sqrt(abs(x))+3*x+e","100","50","2.9813","0.6057","0.2627","0.5022","490"
"3*sqrt(abs(x))+3*x+e","200","50","2.9913","0.5342","0.2642","0.5336","524"
"3*sqrt(abs(x))+3*x+e","500","50","2.9973","0.4714","0.3379","0.6746","511"
"3*sqrt(abs(x))+3*x+e","100","100","3.004","0.6163","0.2237","0.4639","510"
"3*sqrt(abs(x))+3*x+e","200","100","2.9913","0.5213","0.2457","0.477","484"
"3*sqrt(abs(x))+3*x+e","500","100","2.9911","0.4643","0.2718","0.5141","492"
"3*sqrt(abs(x))+3*x+e","100","200","2.9927","0.6227","0.2143","0.4524","501"
"3*sqrt(abs(x))+3*x+e","200","200","3.0067","0.5294","0.2264","0.4684","506"
"3*sqrt(abs(x))+3*x+e","500","200","3.0026","0.4632","0.2155","0.4698","521"
"3*sqrt(abs(x))+3*x+e","100","500","2.9915","0.6092","0.2037","0.448","511"
"3*sqrt(abs(x))+3*x+e","200","500","2.9966","0.5231","0.2185","0.4553","489"
"3*sqrt(abs(x))+3*x+e","500","500","3.0033","0.4638","0.2182","0.4615","522"
