"Formula","N","N_Trees","Mean Effect","SD Effect","SE Estimate Effect","SE2 Estimate Effect","N_Nulls"
"2*x+e","100","50","1.9786","0.4978","0.4646","0.4748","95"
"2*x+e","200","50","1.9956","0.4515","0.5199","0.5375","115"
"2*x+e","500","50","1.9978","0.4327","0.6523","0.6764","174"
"2*x+e","100","100","2.0039","0.5186","0.4627","0.4633","6"
"2*x+e","200","100","2.0131","0.4791","0.464","0.4729","49"
"2*x+e","500","100","1.9938","0.4296","0.4835","0.5015","127"
"2*x+e","100","200","1.974","0.5045","0.4587","0.4565","1"
"2*x+e","200","200","1.9938","0.4725","0.4624","0.4633","3"
"2*x+e","500","200","1.9966","0.4102","0.4561","0.4638","21"
"2*x+e","100","500","1.9872","0.4683","0.4494","0.4463","0"
"2*x+e","200","500","1.9798","0.4536","0.4657","0.4628","0"
"2*x+e","500","500","1.9833","0.4311","0.4595","0.4585","0"
"2*-x^2+e","100","50","-0.0191","0.5944","0.4975","0.5065","91"
"2*-x^2+e","200","50","-7e-04","0.5116","0.5272","0.5519","149"
"2*-x^2+e","500","50","0.0221","0.4629","0.6079","0.6694","224"
"2*-x^2+e","100","100","0.0098","0.6014","0.4708","0.4726","14"
"2*-x^2+e","200","100","0.0127","0.5039","0.4569","0.4667","47"
"2*-x^2+e","500","100","-0.0238","0.4654","0.4951","0.5125","117"
"2*-x^2+e","100","200","-0.0267","0.5855","0.4476","0.4455","0"
"2*-x^2+e","200","200","0.0234","0.4916","0.4579","0.4591","2"
"2*-x^2+e","500","200","-0.0096","0.4365","0.46","0.4694","42"
"2*-x^2+e","100","500","0.0216","0.5894","0.4608","0.4572","0"
"2*-x^2+e","200","500","0.0034","0.5122","0.4504","0.4497","0"
"2*-x^2+e","500","500","-0.0051","0.4581","0.4468","0.4467","0"
"3*sqrt(abs(x))+3*x+e","100","50","2.9916","0.6056","0.4833","0.4968","78"
"3*sqrt(abs(x))+3*x+e","200","50","3.0101","0.5309","0.5175","0.545","157"
"3*sqrt(abs(x))+3*x+e","500","50","3.0286","0.4805","0.6385","0.6759","199"
"3*sqrt(abs(x))+3*x+e","100","100","2.9785","0.6229","0.4691","0.4653","8"
"3*sqrt(abs(x))+3*x+e","200","100","3.0118","0.5265","0.4756","0.4855","45"
"3*sqrt(abs(x))+3*x+e","500","100","3.0098","0.4674","0.4851","0.5168","143"
"3*sqrt(abs(x))+3*x+e","100","200","2.9756","0.6132","0.4528","0.4506","0"
"3*sqrt(abs(x))+3*x+e","200","200","3.0057","0.5268","0.4602","0.4609","2"
"3*sqrt(abs(x))+3*x+e","500","200","3.0023","0.463","0.4483","0.4544","28"
"3*sqrt(abs(x))+3*x+e","100","500","2.9927","0.6041","0.4522","0.4482","0"
"3*sqrt(abs(x))+3*x+e","200","500","2.9912","0.5134","0.4526","0.4495","0"
"3*sqrt(abs(x))+3*x+e","500","500","3.0016","0.4627","0.4483","0.4489","1"
