"Formula","N","N_Trees","Mean Effect","SD Effect","SE Estimate Effect","SE2 Estimate Effect","N_Nulls"
"2*x+e","100","50","1.9988","0.5204","0.4826","0.497","101"
"2*x+e","200","50","2.0172","0.4664","0.5299","0.5478","131"
"2*x+e","500","50","2.0141","0.4374","0.6324","0.6759","202"
"2*x+e","1000","50","2.0036","0.4411","0.8072","0.8665","237"
"2*x+e","100","100","2.0083","0.4904","0.4586","0.4613","11"
"2*x+e","200","100","1.9896","0.4632","0.4654","0.4729","50"
"2*x+e","500","100","2.0042","0.4434","0.4736","0.4966","137"
"2*x+e","1000","100","2.0002","0.43","0.5297","0.5602","206"
"2*x+e","100","200","1.9901","0.5084","0.4642","0.4619","0"
"2*x+e","200","200","2.0127","0.4671","0.4634","0.4634","1"
"2*x+e","500","200","1.9757","0.4453","0.4548","0.4678","31"
"2*x+e","1000","200","1.9882","0.4243","0.4566","0.4759","88"
"2*x+e","100","500","1.9841","0.5046","0.4583","0.4554","0"
"2*x+e","200","500","1.9659","0.4695","0.4657","0.4637","0"
"2*x+e","500","500","2.0108","0.4268","0.4568","0.4576","0"
"2*x+e","1000","500","2.0076","0.4037","0.4559","0.4585","1"
"2*-x^2+e","100","50","-0.034","0.6011","0.4731","0.4881","90"
"2*-x^2+e","200","50","0.0291","0.5029","0.518","0.5357","133"
"2*-x^2+e","500","50","0.0077","0.4516","0.6376","0.6771","201"
"2*-x^2+e","1000","50","-0.0014","0.4348","0.781","0.8549","236"
"2*-x^2+e","100","100","0.0335","0.5692","0.4773","0.4783","8"
"2*-x^2+e","200","100","0.0331","0.4877","0.4531","0.4595","47"
"2*-x^2+e","500","100","0.0201","0.4554","0.4859","0.5135","143"
"2*-x^2+e","1000","100","-0.0164","0.434","0.5267","0.5686","208"
"2*-x^2+e","100","200","-0.0403","0.5613","0.4606","0.4597","0"
"2*-x^2+e","200","200","0.0159","0.503","0.4555","0.4556","7"
"2*-x^2+e","500","200","0.0299","0.4345","0.4681","0.4734","20"
"2*-x^2+e","1000","200","0.009","0.4145","0.4487","0.472","87"
"2*-x^2+e","100","500","0.0356","0.5857","0.4691","0.4654","0"
"2*-x^2+e","200","500","0.0312","0.5118","0.4573","0.4562","0"
"2*-x^2+e","500","500","0.0059","0.4585","0.4591","0.4594","0"
"2*-x^2+e","1000","500","-0.032","0.4339","0.4633","0.4651","3"
"3*sqrt(abs(x))+3*x+e","100","50","3.0404","0.6245","0.489","0.4979","78"
"3*sqrt(abs(x))+3*x+e","200","50","2.9826","0.5538","0.5122","0.5335","139"
"3*sqrt(abs(x))+3*x+e","500","50","2.9876","0.4828","0.6379","0.6807","191"
"3*sqrt(abs(x))+3*x+e","1000","50","2.9869","0.4397","0.8233","0.863","213"
"3*sqrt(abs(x))+3*x+e","100","100","2.9766","0.6151","0.4513","0.4557","11"
"3*sqrt(abs(x))+3*x+e","200","100","2.9887","0.5377","0.4703","0.4778","44"
"3*sqrt(abs(x))+3*x+e","500","100","2.9835","0.4609","0.4811","0.5103","136"
"3*sqrt(abs(x))+3*x+e","1000","100","3.0082","0.4517","0.5121","0.5553","218"
"3*sqrt(abs(x))+3*x+e","100","200","3.0226","0.5906","0.4542","0.4545","0"
"3*sqrt(abs(x))+3*x+e","200","200","2.9886","0.52","0.4507","0.4513","2"
"3*sqrt(abs(x))+3*x+e","500","200","3.0296","0.4517","0.4594","0.4726","40"
"3*sqrt(abs(x))+3*x+e","1000","200","2.9828","0.4181","0.458","0.4752","85"
"3*sqrt(abs(x))+3*x+e","100","500","2.9966","0.6255","0.4676","0.4632","0"
"3*sqrt(abs(x))+3*x+e","200","500","2.9893","0.5167","0.4661","0.4636","0"
"3*sqrt(abs(x))+3*x+e","500","500","3.0089","0.4581","0.4469","0.4474","0"
"3*sqrt(abs(x))+3*x+e","1000","500","2.9831","0.4564","0.4536","0.4556","2"
